category,Straddle Price,Index Spot,Synthetic Future
Fri Sep 06 2024 0916,362.15,82135.57,82116.55
Fri Sep 06 2024 0917,334.7,82061.52,82062.9
Fri Sep 06 2024 0918,324.95,82014.06,82048.05
Fri Sep 06 2024 0919,319.3,82033.44,82059.3
Fri Sep 06 2024 0920,326.65,81999.78,82019.25
Fri Sep 06 2024 0921,330.65,81994.1,82032.05
Fri Sep 06 2024 0922,340.35,82003.52,82034.45
Fri Sep 06 2024 0923,350.8,82021.83,82032.2
Fri Sep 06 2024 0924,362.55,82044.24,82059.35
Fri Sep 06 2024 0925,364.9,82014.06,82038.9
Fri Sep 06 2024 0926,373.8,81985.78,82025.6
Fri Sep 06 2024 0927,386.65,81995.45,82037.85
Fri Sep 06 2024 0928,391.25,82000.83,82047.15
Fri Sep 06 2024 0929,387.2,82002.72,82066.1
Fri Sep 06 2024 0930,460.55,82189.02,82240.55
Fri Sep 06 2024 0931,410.65,82140.98,82198.35
Fri Sep 06 2024 0932,430.55,82211.94,82266.15
Fri Sep 06 2024 0933,453.05,82244.96,82295.25
Fri Sep 06 2024 0934,450.7,82218.12,82258.3
Fri Sep 06 2024 0935,450.7,82212.95,82235.5
Fri Sep 06 2024 0936,441.9,82193.76,82231
Fri Sep 06 2024 0937,438.5,82178.78,82213.7
Fri Sep 06 2024 0938,539.35,81926.94,81920.85
Fri Sep 06 2024 0939,558.55,81927.65,81940.05
Fri Sep 06 2024 0940,528.45,81922.74,81915.25
Fri Sep 06 2024 0941,488.2,81940.64,81946.5
Fri Sep 06 2024 0942,519.6,81892.39,81870.8
Fri Sep 06 2024 0943,540,81861.95,81853.5
Fri Sep 06 2024 0944,532.05,81858.84,81864.95
Fri Sep 06 2024 0945,520.05,81874,81884.05
Fri Sep 06 2024 0946,500.75,81890.86,81841.45
Fri Sep 06 2024 0947,560.85,81770.26,81721.15
Fri Sep 06 2024 0948,552.45,81721.89,81709.45
Fri Sep 06 2024 0949,554.55,81757.41,81725.95
Fri Sep 06 2024 0950,552.05,81771.26,81725.85
Fri Sep 06 2024 0951,562.55,81738.69,81686.95
Fri Sep 06 2024 0952,574.4,81673.66,81642.2
Fri Sep 06 2024 0953,574.1,81700.57,81646.5
Fri Sep 06 2024 0954,574.5,81611.28,81551
Fri Sep 06 2024 0955,568.85,81613.59,81583.95
Fri Sep 06 2024 0956,550.35,81650.35,81603.55
Fri Sep 06 2024 0957,543.6,81693.11,81668.9
Fri Sep 06 2024 0958,528.9,81632.52,81632.5
Fri Sep 06 2024 0959,521.05,81636.21,81614.95
Fri Sep 06 2024 1000,518.1,81632.26,81611
Fri Sep 06 2024 1001,511.6,81657.43,81628.7
Fri Sep 06 2024 1002,499.6,81618.74,81557.2
Fri Sep 06 2024 1003,485.5,81587.02,81589.6
Fri Sep 06 2024 1004,483.25,81638.42,81615.25
Fri Sep 06 2024 1005,470.05,81616.8,81575.25
Fri Sep 06 2024 1006,468.3,81592.34,81573.8
Fri Sep 06 2024 1007,475.35,81538.72,81552.05
Fri Sep 06 2024 1008,472.35,81499.04,81517.15
Fri Sep 06 2024 1009,476.9,81451.11,81418.6
Fri Sep 06 2024 1010,463.45,81405.97,81367.45
Fri Sep 06 2024 1011,464,81423.36,81368
Fri Sep 06 2024 1012,466.05,81331.74,81293.65
Fri Sep 06 2024 1013,478.2,81357.17,81322.4
Fri Sep 06 2024 1014,475.8,81444.87,81423.8
Fri Sep 06 2024 1015,470.85,81443.31,81401.25
Fri Sep 06 2024 1016,473.65,81432.97,81390.65
Fri Sep 06 2024 1017,477.95,81404.01,81369.85
Fri Sep 06 2024 1018,475.25,81349.77,81347.25
Fri Sep 06 2024 1019,485.85,81353.91,81368.15
Fri Sep 06 2024 1020,484.6,81385.5,81390.8
Fri Sep 06 2024 1021,470.95,81409.8,81422.25
Fri Sep 06 2024 1022,469.4,81397.16,81387.7
Fri Sep 06 2024 1023,471.85,81383.22,81382.95
Fri Sep 06 2024 1024,467.5,81426.13,81426.6
Fri Sep 06 2024 1025,450.7,81457.26,81465.5
Fri Sep 06 2024 1026,456.25,81490.1,81506.25
Fri Sep 06 2024 1027,435.95,81449.79,81420.35
Fri Sep 06 2024 1028,426.2,81432.99,81401.4
Fri Sep 06 2024 1029,415.5,81451.1,81464.5
Fri Sep 06 2024 1030,415.5,81476.14,81486.2
Fri Sep 06 2024 1031,409.6,81518.19,81539
Fri Sep 06 2024 1032,379.85,81520.96,81505.35
Fri Sep 06 2024 1033,369.35,81514.86,81513.85
Fri Sep 06 2024 1034,370.2,81491.2,81525.2
Fri Sep 06 2024 1035,365.2,81471.18,81472.1
Fri Sep 06 2024 1036,371.45,81443.48,81425.95
Fri Sep 06 2024 1037,395.55,81384.23,81395.55
Fri Sep 06 2024 1038,400.15,81378.37,81372.55
Fri Sep 06 2024 1039,394.4,81388.85,81393.2
Fri Sep 06 2024 1040,394.85,81325.78,81340.05
Fri Sep 06 2024 1041,390.55,81361.94,81401.25
Fri Sep 06 2024 1042,390.65,81414.4,81420.15
Fri Sep 06 2024 1043,391.05,81391.98,81373.15
Fri Sep 06 2024 1044,389.8,81392.05,81390.2
Fri Sep 06 2024 1045,373.2,81423.04,81425.8
Fri Sep 06 2024 1046,370.15,81432.93,81410.75
Fri Sep 06 2024 1047,360.8,81395.64,81347.1
Fri Sep 06 2024 1048,354.35,81369.2,81328.35
Fri Sep 06 2024 1049,353.45,81404.28,81366.25
Fri Sep 06 2024 1050,355.1,81362.27,81368.9
Fri Sep 06 2024 1051,355,81398.67,81393.7
Fri Sep 06 2024 1052,345.05,81437.75,81367.05
Fri Sep 06 2024 1053,341.35,81439.92,81398.35
Fri Sep 06 2024 1054,338.5,81452.64,81416.4
Fri Sep 06 2024 1055,333.85,81447,81408.45
Fri Sep 06 2024 1056,319.85,81453.11,81415.65
Fri Sep 06 2024 1057,323.8,81446.67,81400.2
Fri Sep 06 2024 1058,328.05,81449.92,81413.65
Fri Sep 06 2024 1059,328.3,81459.66,81423.5
Fri Sep 06 2024 1100 ,320.5,81458.26,81424.7
Fri Sep 06 2024 1101,311,81428.47,81386.6
Fri Sep 06 2024 1102,303.45,81394.72,81364.05
Fri Sep 06 2024 1103,307.35,81384.63,81370.65
Fri Sep 06 2024 1104,306.7,81356.55,81350.3
Fri Sep 06 2024 1105,307.85,81367.6,81365.45
Fri Sep 06 2024 1106,291.55,81392.53,81382.85
Fri Sep 06 2024 1107,290.45,81397.89,81400.85
Fri Sep 06 2024 1108,291.5,81385.08,81380
Fri Sep 06 2024 1109,287.2,81387.42,81364.3
Fri Sep 06 2024 1110,291.9,81337.74,81321.5
Fri Sep 06 2024 1111,294.8,81302.7,81303.2
Fri Sep 06 2024 1112,301.05,81259.02,81259.15
Fri Sep 06 2024 1113,287.35,81305.56,81286.65
Fri Sep 06 2024 1114,298.05,81264.09,81274.05
Fri Sep 06 2024 1115,291.85,81285,81290.15
Fri Sep 06 2024 1116,287.1,81268.53,81268.4
Fri Sep 06 2024 1117,284.85,81282.27,81286.55
Fri Sep 06 2024 1118,274.65,81311.29,81304.85
Fri Sep 06 2024 1119,270.05,81322.6,81314.05
Fri Sep 06 2024 1120,276.3,81325.9,81298.6
Fri Sep 06 2024 1121,274.5,81347.99,81291
Fri Sep 06 2024 1122,277.1,81335.29,81294.8
Fri Sep 06 2024 1123,275.55,81347.36,81296.45
Fri Sep 06 2024 1124,277.55,81340.11,81300.35
Fri Sep 06 2024 1125,280.6,81333.52,81293.9
Fri Sep 06 2024 1126,281.4,81345.38,81299.8
Fri Sep 06 2024 1127,282.2,81333,81287.8
Fri Sep 06 2024 1128,287.8,81327.87,81282.2
Fri Sep 06 2024 1129,283.45,81318.3,81291.35
Fri Sep 06 2024 1130,284.45,81314,81288.35
Fri Sep 06 2024 1131,274.05,81356.26,81334.35
Fri Sep 06 2024 1132,278.9,81347.42,81322.2
Fri Sep 06 2024 1133,271,81324.12,81304.8
Fri Sep 06 2024 1134,270.75,81329.62,81309.65
Fri Sep 06 2024 1135,268.2,81345.09,81310.3
Fri Sep 06 2024 1136,272.15,81352.11,81314.65
Fri Sep 06 2024 1137,276.2,81369.36,81342.6
Fri Sep 06 2024 1138,276.3,81382.06,81334.8
Fri Sep 06 2024 1139,275.85,81377.74,81335.05
Fri Sep 06 2024 1140,294.8,81400.25,81370
Fri Sep 06 2024 1141,282.85,81382.19,81335.55
Fri Sep 06 2024 1142,284.35,81382.26,81352.35
Fri Sep 06 2024 1143,284.3,81375.86,81347
Fri Sep 06 2024 1144,289.05,81383.05,81344.35
Fri Sep 06 2024 1145,292.25,81397.86,81349.65
Fri Sep 06 2024 1146,302.6,81402.19,81375.4
Fri Sep 06 2024 1147,336.55,81428.02,81414.85
Fri Sep 06 2024 1148,320.25,81441.36,81401.05
Fri Sep 06 2024 1149,296.75,81401.78,81351.55
Fri Sep 06 2024 1150,298.2,81412.5,81376.9
Fri Sep 06 2024 1151,293.25,81418.86,81386.85
Fri Sep 06 2024 1152,294.9,81411.15,81385.7
Fri Sep 06 2024 1153,292.2,81414.61,81377.4
Fri Sep 06 2024 1154,299.25,81426.18,81403.35
Fri Sep 06 2024 1155,290.35,81429.4,81382.45
Fri Sep 06 2024 1156,280.55,81413.32,81365.35
Fri Sep 06 2024 1157,279.75,81399.99,81364.35
Fri Sep 06 2024 1158,278.35,81396.15,81363.05
Fri Sep 06 2024 1159,281.6,81401.92,81382.1
Fri Sep 06 2024 1200,274.6,81417.55,81382.3
Fri Sep 06 2024 1201,258.75,81396.04,81357.15
Fri Sep 06 2024 1202,257.5,81384.07,81348
Fri Sep 06 2024 1203,250.75,81373.83,81345.15
Fri Sep 06 2024 1204,245.1,81380.16,81366.7
Fri Sep 06 2024 1205,245.15,81407.49,81390.25
Fri Sep 06 2024 1206,245.95,81420.38,81398.55
Fri Sep 06 2024 1207,250.85,81444.72,81410.85
Fri Sep 06 2024 1208,256.8,81447.74,81420.9
Fri Sep 06 2024 1209,253.2,81445.8,81404
Fri Sep 06 2024 1210,258.2,81451.51,81428.7
Fri Sep 06 2024 1211,258.3,81451.36,81429.7
Fri Sep 06 2024 1212,256.8,81441.67,81421.8
Fri Sep 06 2024 1213,254.3,81439.9,81424.1
Fri Sep 06 2024 1214,256.65,81451.49,81433.85
Fri Sep 06 2024 1215,257.45,81471.15,81444.85
Fri Sep 06 2024 1216,251.75,81454.22,81430.35
Fri Sep 06 2024 1217,242.45,81460.1,81413.85
Fri Sep 06 2024 1218,240.2,81445.45,81409.2
Fri Sep 06 2024 1219,241.4,81464.22,81445.9
Fri Sep 06 2024 1220,241.25,81479.87,81450.35
Fri Sep 06 2024 1221,239.65,81463.72,81443.05
Fri Sep 06 2024 1222,251.7,81484.31,81464.9
Fri Sep 06 2024 1223,256.9,81506.96,81469.4
Fri Sep 06 2024 1224,255.65,81497.98,81463.65
Fri Sep 06 2024 1225,257,81511.09,81474.9
Fri Sep 06 2024 1226,256.75,81502.19,81465.05
Fri Sep 06 2024 1227,241.85,81474.99,81438.15
Fri Sep 06 2024 1228,242.8,81464.47,81435.6
Fri Sep 06 2024 1229,242.1,81460.79,81429.4
Fri Sep 06 2024 1230,243,81473.41,81445.1
Fri Sep 06 2024 1231,243.35,81482.14,81448.05
Fri Sep 06 2024 1232,244.25,81469.39,81426.25
Fri Sep 06 2024 1233,245.1,81457.15,81414.4
Fri Sep 06 2024 1234,239,81435.86,81396.5
Fri Sep 06 2024 1235,233.45,81447.83,81406.25
Fri Sep 06 2024 1236,239.75,81427.34,81382.25
Fri Sep 06 2024 1237,240.55,81418.6,81379.75
Fri Sep 06 2024 1238,237.85,81395.3,81370.25
Fri Sep 06 2024 1239,241.5,81406.51,81387.9
Fri Sep 06 2024 1240,238.75,81415.61,81398.05
Fri Sep 06 2024 1241,245.45,81363.8,81389.35
Fri Sep 06 2024 1242,243.4,81417.69,81390.9
Fri Sep 06 2024 1243,244.05,81405.83,81385.85
Fri Sep 06 2024 1244,240.7,81428.94,81379.2
Fri Sep 06 2024 1245,241.5,81360.15,81390.5
Fri Sep 06 2024 1246,244.15,81387.2,81386.85
Fri Sep 06 2024 1247,244.9,81386.14,81385.2
Fri Sep 06 2024 1248,245.9,81377.58,81374.4
Fri Sep 06 2024 1249,246.2,81385.88,81381
Fri Sep 06 2024 1250,246.35,81381.22,81378.75
Fri Sep 06 2024 1251,257.4,81350.8,81346.6
Fri Sep 06 2024 1252,252.6,81349.89,81349.3
Fri Sep 06 2024 1253,252.4,81354,81338
Fri Sep 06 2024 1254,263.45,81304.98,81303.25
Fri Sep 06 2024 1255,273.4,81299.54,81295.9
Fri Sep 06 2024 1256,284.55,81290.13,81279.85
Fri Sep 06 2024 1257,282.95,81295.93,81281.75
Fri Sep 06 2024 1258,271.2,81308.83,81302.1
Fri Sep 06 2024 1259,281.45,81291.55,81276.85
Fri Sep 06 2024 1300,277.6,81269.52,81240.2
Fri Sep 06 2024 1301,272.7,81243.73,81234.7
Fri Sep 06 2024 1302,278.4,81185.44,81152
Fri Sep 06 2024 1303,270.5,81185.62,81148.3
Fri Sep 06 2024 1304,270.8,81194.31,81181.8
Fri Sep 06 2024 1305,273.4,81174.5,81181.4
Fri Sep 06 2024 1306,259.35,81229.63,81202.15
Fri Sep 06 2024 1307,270.6,81192.15,81181.8
Fri Sep 06 2024 1308,265.6,81203.64,81186.9
Fri Sep 06 2024 1309,248,81218.7,81216.8
Fri Sep 06 2024 1310,234.55,81250.18,81248.55
Fri Sep 06 2024 1311,234.4,81249.06,81238.2
Fri Sep 06 2024 1312,226.9,81259.32,81252.9
Fri Sep 06 2024 1313,223.15,81269.21,81260.45
Fri Sep 06 2024 1314,216.3,81236.11,81209.2
Fri Sep 06 2024 1315,198.9,81217.26,81192.8
Fri Sep 06 2024 1316,196.8,81220.55,81204
Fri Sep 06 2024 1317,198.65,81214.76,81197.75
Fri Sep 06 2024 1318,196.15,81190.77,81186.45
Fri Sep 06 2024 1319,194.8,81193.15,81192.7
Fri Sep 06 2024 1320,194.9,81200.98,81190.2
Fri Sep 06 2024 1321,186.05,81217.9,81206.95
Fri Sep 06 2024 1322,190.95,81220.91,81202.15
Fri Sep 06 2024 1323,185.9,81205.67,81185.3
Fri Sep 06 2024 1324,192.05,81204.13,81193.35
Fri Sep 06 2024 1325,184.9,81198.05,81173.2
Fri Sep 06 2024 1326,180.45,81147.67,81141.85
Fri Sep 06 2024 1327,184.6,81161.9,81151.4
Fri Sep 06 2024 1328,175.5,81199.42,81171.5
Fri Sep 06 2024 1329,168.4,81216.17,81202
Fri Sep 06 2024 1330,161,81238.92,81223.8
Fri Sep 06 2024 1331,162.3,81249.54,81223.7
Fri Sep 06 2024 1332,174,81269.25,81241.5
Fri Sep 06 2024 1333,161.25,81194.41,81211.15
Fri Sep 06 2024 1334,164.2,81237.05,81226.3
Fri Sep 06 2024 1335,162.05,81259.54,81246.75
Fri Sep 06 2024 1336,161.55,81300.93,81260.95
Fri Sep 06 2024 1337,162.3,81284.79,81249.3
Fri Sep 06 2024 1338,156.9,81273.52,81234.5
Fri Sep 06 2024 1339,153.05,81246.08,81223.25
Fri Sep 06 2024 1340,153.75,81262.58,81235.35
Fri Sep 06 2024 1341,154,81264.52,81242.6
Fri Sep 06 2024 1342,151.9,81247.97,81224.5
Fri Sep 06 2024 1343,153.4,81249.77,81235.5
Fri Sep 06 2024 1344,153.95,81253.28,81230.05
Fri Sep 06 2024 1345,152.75,81260.71,81243.15
Fri Sep 06 2024 1346,155.1,81267.54,81259.9
Fri Sep 06 2024 1347,158.3,81274.4,81259.6
Fri Sep 06 2024 1348,156.1,81275.49,81257.9
Fri Sep 06 2024 1349,146.1,81269.48,81238.3
Fri Sep 06 2024 1350,144.95,81240.16,81220.45
Fri Sep 06 2024 1351,142.5,81219.92,81207.3
Fri Sep 06 2024 1352,146.35,81209.05,81210.25
Fri Sep 06 2024 1353,142.35,81239.79,81229.65
Fri Sep 06 2024 1354,139.5,81236.36,81229.1
Fri Sep 06 2024 1355,137,81227.53,81215.4
Fri Sep 06 2024 1356,135.6,81232.82,81236.3
Fri Sep 06 2024 1357,129.4,81235.24,81222
Fri Sep 06 2024 1358,131.25,81235.27,81223.45
Fri Sep 06 2024 1359,131.1,81240.82,81232
Fri Sep 06 2024 1400,130.65,81226.22,81223.95
Fri Sep 06 2024 1401,130.35,81215.31,81227.45
Fri Sep 06 2024 1402,126.6,81195.93,81200.3
Fri Sep 06 2024 1403,121.55,81203.31,81224.15
Fri Sep 06 2024 1404,119.1,81222.66,81242.2
Fri Sep 06 2024 1405,125.55,81231.99,81255.55
Fri Sep 06 2024 1406,130,81249.83,81267.1
Fri Sep 06 2024 1407,127.15,81267.33,81261.35
Fri Sep 06 2024 1408,124.3,81259.51,81251.7
Fri Sep 06 2024 1409,114.8,81243.06,81241.5
Fri Sep 06 2024 1410,115.45,81227.13,81229.55
Fri Sep 06 2024 1411,110.05,81212.24,81226.45
Fri Sep 06 2024 1412,111.45,81213.99,81223.45
Fri Sep 06 2024 1413,109.45,81216.17,81226.15
Fri Sep 06 2024 1414,110.1,81203.88,81216.1
Fri Sep 06 2024 1415,109.65,81211.69,81233.45
Fri Sep 06 2024 1416,106.25,81218.64,81238.55
Fri Sep 06 2024 1417,105.55,81218.82,81235.55
Fri Sep 06 2024 1418,103.5,81208.93,81218.5
Fri Sep 06 2024 1419,101.95,81179.6,81211.65
Fri Sep 06 2024 1420,99.85,81197.1,81219.45
Fri Sep 06 2024 1421,91.7,81165.94,81202.5
Fri Sep 06 2024 1422,94.65,81195.16,81194.75
Fri Sep 06 2024 1423,102.15,81128.62,81174.45
Fri Sep 06 2024 1424,100.2,81137.39,81172.3
Fri Sep 06 2024 1425,94.65,81137.09,81182.05
Fri Sep 06 2024 1426,108.5,81088.21,81154.6
Fri Sep 06 2024 1427,104.35,81171.67,81164.15
Fri Sep 06 2024 1428,106.7,81108.93,81156.8
Fri Sep 06 2024 1429,108.3,81095.56,81154.7
Fri Sep 06 2024 1430,104.3,81100.04,81163.4
Fri Sep 06 2024 1431,102.25,81151.55,81161.15
Fri Sep 06 2024 1432,98.05,81123.12,81166.95
Fri Sep 06 2024 1433,100.65,81116.8,81146.35
Fri Sep 06 2024 1434,100.8,81101.01,81139.3
Fri Sep 06 2024 1435,96.4,81116.19,81147.1
Fri Sep 06 2024 1436,96.65,81125.99,81154.75
Fri Sep 06 2024 1437,91.8,81154.53,81172.1
Fri Sep 06 2024 1438,94.8,81129.16,81154.5
Fri Sep 06 2024 1439,90.85,81129.26,81157.55
Fri Sep 06 2024 1440,90.4,81166.14,81165.5
Fri Sep 06 2024 1441,93.35,81134.72,81152.35
Fri Sep 06 2024 1442,88.1,81097.46,81161.1
Fri Sep 06 2024 1443,88.6,81121.83,81160.4
Fri Sep 06 2024 1444,86,81118.92,81168
Fri Sep 06 2024 1445,88.7,81113.18,81164.1
Fri Sep 06 2024 1446,83.8,81121.25,81176.5
Fri Sep 06 2024 1447,83.8,81121.33,81161.3
Fri Sep 06 2024 1448,84.6,81118.65,81163.6
Fri Sep 06 2024 1449,87.55,81097,81160.05
Fri Sep 06 2024 1450,82.65,81109.75,81172.25
Fri Sep 06 2024 1451,84.2,81108.57,81163.4
Fri Sep 06 2024 1452,88.2,81126.32,81166.1
Fri Sep 06 2024 1453,91.75,81129.89,81156.55
Fri Sep 06 2024 1454,93.75,81098.63,81156.95
Fri Sep 06 2024 1455,88.6,81083.44,81161.1
Fri Sep 06 2024 1456,78.65,81134.24,81179.55
Fri Sep 06 2024 1457,69.45,81153.18,81199.65
Fri Sep 06 2024 1458,76.35,81152.74,81193.05
Fri Sep 06 2024 1459,83.95,81088.72,81153.25
Fri Sep 06 2024 1500,79.65,81009.57,81106.35
Fri Sep 06 2024 1501,72.35,81097.85,81132.15
Fri Sep 06 2024 1502,59,81079.3,81112.8
Fri Sep 06 2024 1503,56.85,81154.52,81184.35
Fri Sep 06 2024 1504,47.55,81140.42,81179.35
Fri Sep 06 2024 1505,52.85,81135.72,81169.15
Fri Sep 06 2024 1506,45.5,81183.37,81181.6
Fri Sep 06 2024 1507,60.25,81140.06,81159.85
Fri Sep 06 2024 1508,60.75,81189.76,81161.65
Fri Sep 06 2024 1509,51.8,81126.9,81164.4
Fri Sep 06 2024 1510,44.8,81127.05,81167.3
Fri Sep 06 2024 1511,46.45,81183.4,81163.15
Fri Sep 06 2024 1512,35.8,81190.13,81180.7
Fri Sep 06 2024 1513,31.05,81163.18,81182.45
Fri Sep 06 2024 1514,32.8,81187.54,81179.6
Fri Sep 06 2024 1515,31.9,81182.48,81176.4
Fri Sep 06 2024 1516,25.4,81229.1,81185.1
Fri Sep 06 2024 1517,20.4,81221.42,81194.1
Fri Sep 06 2024 1518,16.55,81240.36,81195.55
Fri Sep 06 2024 1519,14.15,81235.19,81196.25
Fri Sep 06 2024 1520,13.75,81226.31,81194.25
Fri Sep 06 2024 1521,11.25,81248.13,81195.35
Fri Sep 06 2024 1522,14.35,81245.43,81189.05
Fri Sep 06 2024 1523,17,81249.31,81186.6
Fri Sep 06 2024 1524,12,81276.32,81191.8
Fri Sep 06 2024 1525,11.65,81275.45,81192.15
Fri Sep 06 2024 1526,13.05,81256.85,81188.85
Fri Sep 06 2024 1527,14.7,81235.83,81185.8
Fri Sep 06 2024 1528,15.4,81238.39,81184.9
Fri Sep 06 2024 1529,14.85,81238.85,81185.45
Fri Sep 06 2024 1530,15.95,81226.56,81184.25
,16.3,81271.06,81183.8
